source,timestamp,COMMAND_ID,COMMAND_STATUS,GAS_NUMBER,DEVICE_STATUS_LEAST,DEVICE_STATUS_MOST,MFC_PRESSURE,MFC_FLOW_TEMPERATURE,MFC_VOLUMETRIC_FLOW,MFC_MASS_FLOW,MFC_MASS_FLOW_SETPOINT
string,datetime - UTC epoch,int,int,int,int,int,float,float,float,float,float
None,None,,,,,,,,,,
,,,,,,,,,,,
ACE_Alicat,1581316070.617722,0.2790442847474832,0.6173509625805884,0.5625039704698642,0.6072890028922261,0.8406665652892557,0.2506598514625765,0.7647581903169871,0.0043125721267854855,0.7108001549944742,0.046850065938485286
ACE_Alicat,1581316071.617722,0.4146585756671717,0.875729369708653,0.08276623645116377,0.7164651792721489,0.8750960819878629,0.9457340852941355,0.6118237112091259,0.9212776706277287,0.976404760014197,0.09267971361304728
ACE_Alicat,1581316072.617722,0.23440383009581767,0.9439331088935011,0.4282923384283549,0.11289502755242997,0.5046698464333538,0.39606871971566326,0.06431543091152081,0.3901569704592118,0.958437273601032,0.34405895661712127
ACE_Alicat,1581316073.617722,0.11655299318419776,0.641490417679991,0.06623633184962174,0.02973237642158688,0.11683144649690302,0.047325605369175405,0.01566015141556698,0.06474478291267349,0.0006084315931090822,0.3941759683942284
ACE_Alicat,1581316074.617722,0.2144417491385131,0.20128681743394783,0.09118843040220725,0.8686674407119485,0.656167572742482,0.9846460490806334,0.33813065016083754,0.41064322670741304,0.9342898298093092,0.4712461132026222
ACE_Alicat,1581316075.617722,0.8907184641783565,0.06608962304332722,0.5740907910973386,0.6050095887077858,0.05197241399579566,0.5896586419587737,0.8907379646362626,0.040643220850219985,0.3858575256008241,0.6389235814513182
ACE_Alicat,1581316076.617722,0.04603916626376947,0.7518721238342447,0.6611058098580216,0.44389185199218095,0.7781921593297639,0.4799948713070189,0.5989852297180954,0.6944044220212955,0.11779697700359137,0.40107965579781735
ACE_Alicat,1581316077.617722,0.9593213114368113,0.05335032875152035,0.10130027970108857,0.12285701707473173,0.15664604092560486,0.20422773205478084,0.5821260354401193,0.8774286039266918,0.6400175869180431,0.05686466916649424
ACE_Alicat,1581316078.617722,0.3160821729357437,0.36579905829295367,0.2190981366717053,0.30749558729958504,0.08801832954368616,0.5776341906204259,0.27163662061488114,0.38245474278450964,0.668527101518042,0.7480540546231459
ACE_Alicat,1581316079.617722,0.9164028742307461,0.874307216811863,0.14277788696362192,0.048122200174974594,0.1940997720607588,0.5138182279468007,0.22775069566439576,0.8867786505878655,0.9711698140604182,0.40107958417825906
ACE_Alicat,1581316080.617722,0.6545865294534481,0.5277811360153037,0.6745708037347783,0.10135969904205389,0.007456607511554192,0.6460463484107758,0.46863434295868167,0.008617006793491644,0.11059927300074535,0.7871882694273602
ACE_Alicat,1581316081.617722,0.2734696453019192,0.42630662405200026,0.8997684041030033,0.3111135925002785,0.6587327512329217,0.5344180984731072,0.04148013586643695,0.6423830002421401,0.6042797875076972,0.6999791226158404
